2026-05-26 15:42:16 [http-nio-8080-exec-5] INFO  v.e.n.f.e.c.filter.LoggingFilter - IP: 0:0:0:0:0:0:0:1 | Method: GET | URI: /e_learning_war_exploded/assets/fonts/fontawesome-free-7.1.0-web/webfonts/fa-solid-900.woff2 | Time: 17ms
2026-05-26 15:42:16 [http-nio-8080-exec-4] INFO  v.e.n.f.e.c.filter.LoggingFilter - IP: 0:0:0:0:0:0:0:1 | Method: GET | URI: /e_learning_war_exploded/assets/javascript/component/contact-form.js | Time: 4ms
2026-05-26 15:42:16 [http-nio-8080-exec-2] INFO  v.e.n.f.e.c.filter.LoggingFilter - IP: 0:0:0:0:0:0:0:1 | Method: GET | URI: /e_learning_war_exploded/assets/fonts/static/Roboto-SemiBold.ttf | Time: 7ms
2026-05-26 15:42:17 [http-nio-8080-exec-1] INFO  v.e.n.f.e.c.filter.LoggingFilter - IP: 0:0:0:0:0:0:0:1 | Method: GET | URI: /e_learning_war_exploded/sign-in | Time: 339ms
2026-05-26 15:42:17 [http-nio-8080-exec-6] INFO  v.e.n.f.e.c.filter.LoggingFilter - IP: 0:0:0:0:0:0:0:1 | Method: GET | URI: /e_learning_war_exploded/assets/javascript/ui/dark-mode.js | Time: 0ms
2026-05-26 15:42:17 [http-nio-8080-exec-9] INFO  v.e.n.f.e.c.filter.LoggingFilter - IP: 0:0:0:0:0:0:0:1 | Method: GET | URI: /e_learning_war_exploded/assets/css/base/default.css | Time: 0ms
2026-05-26 15:42:17 [http-nio-8080-exec-7] INFO  v.e.n.f.e.c.filter.LoggingFilter - IP: 0:0:0:0:0:0:0:1 | Method: GET | URI: /e_learning_war_exploded/assets/javascript/security/security.js | Time: 0ms
2026-05-26 15:42:17 [http-nio-8080-exec-10] INFO  v.e.n.f.e.c.filter.LoggingFilter - IP: 0:0:0:0:0:0:0:1 | Method: GET | URI: /e_learning_war_exploded/assets/css/auth/sign-in.css | Time: 8ms
2026-05-26 15:42:17 [http-nio-8080-exec-8] INFO  v.e.n.f.e.c.filter.LoggingFilter - IP: 0:0:0:0:0:0:0:1 | Method: GET | URI: /e_learning_war_exploded/assets/javascript/ui/header-search.js | Time: 0ms
2026-05-26 15:42:17 [http-nio-8080-exec-3] INFO  v.e.n.f.e.c.filter.LoggingFilter - IP: 0:0:0:0:0:0:0:1 | Method: GET | URI: /e_learning_war_exploded/assets/css/base/base.css | Time: 6ms
2026-05-26 15:42:17 [http-nio-8080-exec-5] INFO  v.e.n.f.e.c.filter.LoggingFilter - IP: 0:0:0:0:0:0:0:1 | Method: GET | URI: /e_learning_war_exploded/assets/fonts/normalize.css-master/normalize.css | Time: 0ms
2026-05-26 15:42:17 [http-nio-8080-exec-2] INFO  v.e.n.f.e.c.filter.LoggingFilter - IP: 0:0:0:0:0:0:0:1 | Method: GET | URI: /e_learning_war_exploded/assets/javascript/security/security.js | Time: 0ms
2026-05-26 15:42:17 [http-nio-8080-exec-4] INFO  v.e.n.f.e.c.filter.LoggingFilter - IP: 0:0:0:0:0:0:0:1 | Method: GET | URI: /e_learning_war_exploded/assets/image/search.png | Time: 0ms
2026-05-26 15:42:18 [http-nio-8080-exec-9] INFO  v.e.n.f.e.c.filter.LoggingFilter - IP: 0:0:0:0:0:0:0:1 | Method: GET | URI: /e_learning_war_exploded/assets/javascript/security/security.js | Time: 0ms
2026-05-26 15:42:18 [http-nio-8080-exec-1] INFO  v.e.n.f.e.c.filter.LoggingFilter - IP: 0:0:0:0:0:0:0:1 | Method: GET | URI: /e_learning_war_exploded/assets/css/admin/component/notification.css | Time: 6ms
